"variant","disease","group","subgroup","N","MAE","MRE","RMSE","Bias","Cov_80","Cov_95"
"nb5_drift_expo","Retinopathy","Region","Southeast",420,175.621,0.771,343.305,72.994,86.2,98.6
"nb5_drift_expo","Retinopathy","Region","South",315,223.69,0.7331,431.037,86.069,89.2,98.1
"nb5_drift_expo","Eye & Appendage Diseases","Age","25-34",405,36.121,0.6204,53.639,17.036,90.4,99.3
"nb5_drift_expo","Eye & Appendage Diseases","Age","35-44",405,70.172,0.7934,104.083,63.713,92.3,99.3
"nb5_drift_expo","Eye & Appendage Diseases","Age","45-54",405,97.105,0.6633,145.697,86.512,97.8,100
"nb5_drift_expo","Eye & Appendage Diseases","Age","55-64",405,103.981,0.8208,143.675,-51.471,98.3,100
"nb5_drift_expo","Eye & Appendage Diseases","Age","65-74",405,620.229,1.6806,943.769,-598.849,73.1,97
"nb5_drift_expo","Eye & Appendage Diseases","Age","75-89",405,935.088,3.0907,1620.663,-808.602,80,95.3
"nb5_drift_expo","Eye & Appendage Diseases","Age","90+",405,2062.457,15.4601,2515.854,2056.667,54.3,89.1
"nb5_drift_expo","Eye & Appendage Diseases","Region","North",735,323.859,10.9639,791.422,-6.674,81.5,96.1
"nb5_drift_expo","Eye & Appendage Diseases","Region","Northeast",945,522.585,0.6755,1031.972,127.578,82.8,97
"nb5_drift_expo","Eye & Appendage Diseases","Region","Center-West",420,913.576,0.6478,1873.148,151.301,84,97.1
"nb5_drift_expo","Eye & Appendage Diseases","Region","Southeast",420,723.8,0.5415,1288.858,97.945,84.3,98.8
"nb5_drift_expo","Eye & Appendage Diseases","Region","South",315,540.029,0.5431,1087.24,284.088,90.8,97.8
"nb5_llt_drift","Glaucoma","Age","25-34",345,2.405,1.087,3.666,1.579,90.7,98.3
"nb5_llt_drift","Glaucoma","Age","35-44",390,3.208,0.9337,4.906,2.456,97.9,99.5
"nb5_llt_drift","Glaucoma","Age","45-54",390,3.665,0.8505,5.513,1.34,98.7,100
"nb5_llt_drift","Glaucoma","Age","55-64",375,9.054,1.0415,14.611,-6.42,95.2,99.2
"nb5_llt_drift","Glaucoma","Age","65-74",405,28.139,1.6104,47.621,-24.768,83.7,98.5
"nb5_llt_drift","Glaucoma","Age","75-89",375,33.518,2.9097,58.864,-21.767,94.9,98.9
"nb5_llt_drift","Glaucoma","Age","90+",345,137.587,12.3174,194.221,135.678,74.5,96.5
"nb5_llt_drift","Glaucoma","Region","North",570,12.776,5.7711,32.317,3.577,95.8,98.9
